Type of split	Corpus	Model	Convergence	Fractional polynomial variant	True positives (train)	True negatives (train)	False positives (train)	False negatives (train)	True positives (test)	True negatives (test)	False positives (test)	False negatives (test)	AIC
consecutive	all	I	yes	0	778460	0	521540	0	324130	0	175870	0	1751074
consecutive	all	I	yes	1	778460	0	521540	0	324130	0	175870	0	1751074
consecutive	all	I	yes	2	778460	0	521540	0	324130	0	175870	0	1751074
consecutive	all	I	yes	3	778460	0	521540	0	324130	0	175870	0	1751074
consecutive	all	II	yes	0	728507	70264	451276	49953	324130	0	175870	0	1724892
consecutive	all	II	yes	1	706213	93832	427708	72247	324130	0	175870	0	1722517
consecutive	all	II	yes	2	689539	111079	410461	88921	324130	0	175870	0	1718209
consecutive	all	II	yes	3	689539	111079	410461	88921	324130	0	175870	0	1717957
consecutive	all	III	yes	0	685698	120007	401533	92762	324111	19	175851	19	1698888
consecutive	all	III	yes	1	680979	127131	394409	97481	324006	160	175710	124	1696565
consecutive	all	III	yes	2	678176	132920	388620	100284	311220	13964	161906	12910	1692656
consecutive	all	III	yes	3	679497	131590	389950	98963	323248	1031	174839	882	1692463
consecutive	all	IV	yes	0	682869	124233	397307	95591	323066	1308	174562	1064	1698278
consecutive	all	IV	yes	1	677787	131416	390124	100673	322364	2146	173724	1766	1695948
consecutive	all	IV	yes	2	675661	135771	385769	102799	299634	23935	151935	24496	1691923
consecutive	all	IV	no	3									
consecutive	bloggmix	I	yes	0	24943	0	20057	0	9027	0	5973	0	61854
consecutive	bloggmix	I	yes	1	24943	0	20057	0	9027	0	5973	0	61854
consecutive	bloggmix	I	yes	2	24943	0	20057	0	9027	0	5973	0	61854
consecutive	bloggmix	I	yes	3	24943	0	20057	0	9027	0	5973	0	61854
consecutive	bloggmix	II	yes	0	19976	5315	14742	4967	9027	0	5973	0	61264
consecutive	bloggmix	II	yes	1	19976	5315	14742	4967	9027	0	5973	0	61251
consecutive	bloggmix	II	yes	2	19059	6324	13733	5884	9027	0	5973	0	61196
consecutive	bloggmix	II	no	3									
consecutive	bloggmix	III	yes	0	18516	8818	11239	6427	8677	425	5548	350	59006
consecutive	bloggmix	III	yes	1	18500	8834	11223	6443	8752	335	5638	275	58993
consecutive	bloggmix	III	yes	2	18345	9119	10938	6598	8945	120	5853	82	58935
consecutive	bloggmix	III	no	3									
consecutive	bloggmix	IV	yes	0	18835	8559	11498	6108	8750	337	5636	277	58980
consecutive	bloggmix	IV	yes	1	18787	8592	11465	6156	8831	255	5718	196	58967
consecutive	bloggmix	IV	yes	2	18685	8797	11260	6258	8965	80	5893	62	58911
consecutive	bloggmix	IV	no	3									
consecutive	da	I	yes	0	0	4747	0	2253	0	1263	0	737	8798
consecutive	da	I	yes	1	0	4747	0	2253	0	1263	0	737	8798
consecutive	da	I	yes	2	0	4747	0	2253	0	1263	0	737	8798
consecutive	da	I	yes	3	0	4747	0	2253	0	1263	0	737	8798
consecutive	da	II	yes	0	0	4747	0	2253	0	1263	0	737	8751
consecutive	da	II	yes	1	0	4747	0	2253	0	1263	0	737	8749
consecutive	da	II	yes	2	0	4747	0	2253	0	1263	0	737	8740
consecutive	da	II	no	3									
consecutive	da	III	yes	0	200	4593	154	2053	221	1021	242	516	8509
consecutive	da	III	yes	1	202	4593	154	2051	195	1033	230	542	8507
consecutive	da	III	yes	2	179	4617	130	2074	47	1217	46	690	8499
consecutive	da	III	no	3									
consecutive	da	IV	yes	0	162	4626	121	2091	225	929	334	512	8508
consecutive	da	IV	yes	1	156	4632	115	2097	214	951	312	523	8505
consecutive	da	IV	yes	2	170	4623	124	2083	4	1261	2	733	8504
consecutive	da	IV	no	3									
consecutive	familjeliv	I	yes	0	482442	0	297558	0	167317	0	72683	0	1037069
consecutive	familjeliv	I	yes	1	482442	0	297558	0	167317	0	72683	0	1037069
consecutive	familjeliv	I	yes	2	482442	0	297558	0	167317	0	72683	0	1037069
consecutive	familjeliv	I	yes	3	482442	0	297558	0	167317	0	72683	0	1037069
consecutive	familjeliv	II	yes	0	478064	6381	291177	4378	167317	0	72683	0	1021315
consecutive	familjeliv	II	yes	1	455816	33374	264184	26626	167317	0	72683	0	1020204
consecutive	familjeliv	II	yes	2	443164	46326	251232	39278	167317	0	72683	0	1018709
consecutive	familjeliv	II	yes	3	443164	46326	251232	39278	167317	0	72683	0	1018606
consecutive	familjeliv	III	yes	0	448270	41950	255608	34172	167317	0	72683	0	1011872
consecutive	familjeliv	III	yes	1	444068	47161	250397	38374	167317	0	72683	0	1010772
consecutive	familjeliv	III	yes	2	438483	54081	243477	43959	167191	120	72563	126	1009353
consecutive	familjeliv	III	yes	3	438653	53938	243620	43789	167317	0	72683	0	1009260
consecutive	familjeliv	IV	yes	0	448571	42248	255310	33871	167147	196	72487	170	1011240
consecutive	familjeliv	IV	yes	1	444520	47091	250467	37922	167133	211	72472	184	1010146
consecutive	familjeliv	IV	yes	2	437091	55712	241846	45351	165722	1480	71203	1595	1008763
consecutive	familjeliv	IV	no	3									
consecutive	flashback	I	yes	0	658454	0	381546	0	218755	0	101245	0	1367122
consecutive	flashback	I	yes	1	658454	0	381546	0	218755	0	101245	0	1367122
consecutive	flashback	I	yes	2	658454	0	381546	0	218755	0	101245	0	1367122
consecutive	flashback	I	yes	3	658454	0	381546	0	218755	0	101245	0	1367122
consecutive	flashback	II	yes	0	658454	0	381546	0	218755	0	101245	0	1361587
consecutive	flashback	II	yes	1	658454	0	381546	0	218755	0	101245	0	1360544
consecutive	flashback	II	yes	2	645210	13459	368087	13244	218755	0	101245	0	1356208
consecutive	flashback	II	yes	3	638656	19721	361825	19798	218755	0	101245	0	1355829
consecutive	flashback	III	yes	0	635585	27030	354516	22869	218562	197	101048	193	1342918
consecutive	flashback	III	yes	1	634125	29068	352478	24329	218406	326	100919	349	1341897
consecutive	flashback	III	yes	2	624473	39855	341691	33981	200035	13470	87775	18720	1337723
consecutive	flashback	III	yes	3	622945	41311	340235	35509	217890	884	100361	865	1337357
consecutive	flashback	IV	yes	0	636493	25965	355581	21961	218341	382	100863	414	1342879
consecutive	flashback	IV	yes	1	635255	27837	353709	23199	218140	581	100664	615	1341855
consecutive	flashback	IV	yes	2	624492	39835	341711	33962	200916	12623	88622	17839	1337639
consecutive	flashback	IV	no	3									
consecutive	gp	I	yes	0	0	116097	0	13903	0	31300	0	7700	88423
consecutive	gp	I	yes	1	0	116097	0	13903	0	31300	0	7700	88423
consecutive	gp	I	yes	2	0	116097	0	13903	0	31300	0	7700	88423
consecutive	gp	I	yes	3	0	116097	0	13903	0	31300	0	7700	88423
consecutive	gp	II	yes	0	0	116097	0	13903	0	31300	0	7700	88200
consecutive	gp	II	yes	1	0	116097	0	13903	0	31300	0	7700	88199
consecutive	gp	II	yes	2	0	116097	0	13903	0	31300	0	7700	88201
consecutive	gp	II	yes	3	0	116097	0	13903	0	31300	0	7700	88202
consecutive	gp	III	yes	0	792	115477	620	13111	755	30760	540	6945	80108
consecutive	gp	III	yes	1	791	115485	612	13112	797	30726	574	6903	80108
consecutive	gp	III	yes	2	779	115490	607	13124	785	30737	563	6915	80109
consecutive	gp	III	yes	3	774	115488	609	13129	710	30796	504	6990	80111
consecutive	gp	IV	yes	0	828	115472	625	13075	544	30858	442	7156	80078
consecutive	gp	IV	yes	1	819	115474	623	13084	549	30852	448	7151	80078
consecutive	gp	IV	yes	2	819	115491	606	13084	479	30960	340	7221	80091
consecutive	gp	IV	no	3									
consecutive	svt	I	yes	0	0	76862	0	19138	0	15255	0	8745	95907
consecutive	svt	I	yes	1	0	76862	0	19138	0	15255	0	8745	95907
consecutive	svt	I	yes	2	0	76862	0	19138	0	15255	0	8745	95907
consecutive	svt	I	yes	3	0	76862	0	19138	0	15255	0	8745	95907
consecutive	svt	II	yes	0	0	76862	0	19138	0	15255	0	8745	92420
consecutive	svt	II	yes	1	0	76862	0	19138	0	15255	0	8745	92420
consecutive	svt	II	yes	2	0	76862	0	19138	0	15255	0	8745	92421
consecutive	svt	II	yes	3	0	76862	0	19138	0	15255	0	8745	92422
consecutive	svt	III	yes	0	124	76736	126	19014	1502	13862	1393	7243	90741
consecutive	svt	III	yes	1	124	76736	126	19014	1502	13862	1393	7243	90741
consecutive	svt	III	yes	2	126	76733	129	19012	1464	13908	1347	7281	90742
consecutive	svt	III	yes	3	123	76736	126	19015	1200	14199	1056	7545	90743
consecutive	svt	IV	yes	0	33	76830	32	19105	1102	14266	989	7643	90712
consecutive	svt	IV	yes	1	33	76830	32	19105	1102	14266	989	7643	90712
consecutive	svt	IV	yes	2	23	76837	25	19115	1037	14290	965	7708	90725
consecutive	svt	IV	no	3									
consecutive	synthetic	I	yes	0	778460	0	521540	0	324130	0	175870	0	1751074
consecutive	synthetic	I	yes	1	778460	0	521540	0	324130	0	175870	0	1751074
consecutive	synthetic	I	yes	2	778460	0	521540	0	324130	0	175870	0	1751074
